,Well_Name,allprodmaxindex,allprodcum,allprodquarter,allprodhalf,allprodthreequarter,halfwaydays,threequarterdays,halfdaysdate,Cumsum_OilProd_Norm,Cumsum_OilProd_ERU
91,Castle Rock D-11H,125338,146649.41379310345,315.0,793.0,1342.0,478.0,549.0,2016,146649.41379310345,0.0
92,Ceja 13-17 Benton,11577,94779.67896551725,1098.0,2858.0,5162.0,1760.0,2304.0,1995,94779.67896551725,0.0
93,Cenergy 41-26 Cenergy-Kirkwood State,89209,114295.24137931004,1477.0,3374.0,4565.0,1897.0,1191.0,1995,114295.24137931004,0.0
95,Cernan 24-10H,124568,72053.0,364.0,890.0,1540.0,526.0,650.0,2016,72053.0,0.0
97,Citation 1 North Hollingsworth,9629,363946.8275862067,808.0,1556.0,2259.0,748.0,703.0,1988,363946.8275862067,0.0
98,Citation 12-20 North Hollingsworth,10540,67587.82758620687,355.0,1031.0,1998.0,676.0,967.0,1988,67587.82758620687,0.0
99,Citation 13-20 North Hollingsworth,10067,28038.896551724138,241.0,444.0,712.0,203.0,268.0,1986,28038.896551724138,0.0
101,Citation 32-34 Pfister Federal,9844,22581.758620689656,732.0,1769.0,3067.0,1037.0,1298.0,1989,22581.758620689656,0.0
102,Citation 42-19 North Hollingsworth,10218,164969.89655172397,982.0,1999.0,2569.0,1017.0,570.0,1990,164969.89655172397,0.0
104,Citation 5-11 East Simms Federal,10011,208189.68965517255,274.0,741.0,1644.0,467.0,903.0,1986,208189.68965517255,0.0
105,Citation T12-5 East Simms Draw,10381,114738.00000000004,279.0,637.0,1420.0,358.0,783.0,1986,114738.00000000004,0.0
106,Clarkson 26-1H,58742,14273.24137931034,170.0,370.0,665.0,200.0,295.0,2013,0.0,14273.24137931034
108,Clarkson Ranch N-13H,125567,194280.86206896554,390.0,907.0,1621.0,517.0,714.0,2017,141775.0344827586,52505.827586206906
109,Clarkson Schlaikjer 1 Government,14591,85189.5172413793,575.0,1418.0,2578.0,843.0,1160.0,1963,85189.5172413793,0.0
110,Collins Federal 31-16H,125089,51805.0,311.0,745.0,1291.0,434.0,546.0,2017,51805.0,0.0
111,Conrad 24-11H,124391,129959.0,494.0,1164.0,1947.0,670.0,783.0,2016,129959.0,0.0
113,DEPCO 22-24 Travers,29492,52085.0,669.0,1664.0,2730.0,995.0,1066.0,1980,52085.0,0.0
114,Depco 42-27 Federal,25007,335402.4827586207,272.0,650.0,1315.0,378.0,665.0,1973,335402.4827586207,0.0
115,Dodgin 1 Coffing,2066,88205.23,242.0,1198.0,3914.0,956.0,2716.0,1967,88205.23,0.0
117,EHSRRU C-8H,112251,95817.551724138,317.0,1438.0,3196.0,1121.0,1758.0,2008,0.0,95817.551724138
118,EHSRRU F-6H,112051,1176135.8275862073,1171.0,2153.0,3447.0,982.0,1294.0,2009,0.0,1176135.8275862073
119,EHSRRU I-32H,116674,443304.44827586197,570.0,1014.0,1984.0,444.0,970.0,2011,0.0,443304.44827586197
121,EHSRRU N-5H,113876,28037.275862068967,45.0,135.0,254.0,90.0,119.0,2007,0.0,28037.275862068967
122,EHSRRU P-30,121289,142905.13793103452,580.0,1735.0,2513.0,1155.0,778.0,2015,0.0,142905.13793103452
125,Foust J-34H,120909,107643.13793103448,365.0,1439.0,2667.0,1074.0,1228.0,2014,84291.82758620687,23351.310344827583
126,Fowler 1-3H,116247,257174.82758620696,2825.0,3220.0,3729.0,395.0,509.0,2017,189145.93103448278,68028.89655172416
127,Fox 6-22,119924,20319.82758620689,107.0,289.0,472.0,182.0,183.0,2011,20319.82758620689,0.0
128,Fuller Canyon 1-9H Federal,84587,135825.0,363.0,1308.0,2723.0,945.0,1415.0,2009,135825.0,0.0
130,Gilbert 10-9,115351,54611.03448275864,164.0,337.0,610.0,173.0,273.0,2009,54611.03448275864,0.0
132,Gilbert 12-9,120172,3239.4827586206907,92.0,212.0,365.0,120.0,153.0,2011,3239.4827586206907,0.0
134,Gilbert 13-15,117870,86709.48275862067,225.0,499.0,833.0,274.0,334.0,2009,86709.48275862067,0.0
136,Gilbert 5-15,118021,24967.068965517246,146.0,318.0,561.0,172.0,243.0,2009,24967.068965517246,0.0
137,Gilbert 5-26,115657,29778.103448275873,172.0,376.0,711.0,204.0,335.0,2009,29778.103448275873,0.0
138,Gilbert 7-9,119014,16812.931034482757,211.0,364.0,636.0,153.0,272.0,2010,16812.931034482757,0.0
139,Gilbert State 3-16,115504,51449.482758620696,166.0,347.0,620.0,181.0,273.0,2009,51449.482758620696,0.0
140,Graves 12-13H,52542,231749.79310344838,755.0,1769.0,3001.0,1014.0,1232.0,2012,231749.79310344838,0.0
141,Graves 32-23 Clarkson WBRRU,15183,604224.75862069,3211.0,9290.0,13056.0,6079.0,3766.0,1988,299530.724137931,304694.03448275843
142,Graves 41-13H,122193,260997.0,543.0,1119.0,1967.0,576.0,848.0,2014,260997.0,0.0
